Month;L;M;S;SD3neg;SD2neg;SD1neg;SD0;SD1;SD2;SD3
0;1;498.842;0.03795;44.2;46.1;48.0;49.9;51.8;53.7;55.6
1;1;547.244;0.03557;48.9;50.8;52.8;54.7;56.7;58.6;60.6
2;1;584.249;0.03424;52.4;54.4;56.4;58.4;60.4;62.4;64.4
3;1;614.292;0.03328;55.3;57.3;59.4;61.4;63.5;65.5;67.6
4;1;638.860;0.03257;57.6;59.7;61.8;63.9;66.0;68.0;70.1
5;1;659.026;0.03204;59.6;61.7;63.8;65.9;68.0;70.1;72.2
6;1;676.236;0.03165;61.2;63.3;65.5;67.6;69.8;71.9;74.0
7;1;691.645;0.03139;62.7;64.8;67.0;69.2;71.3;73.5;75.7
8;1;705.994;0.03124;64.0;66.2;68.4;70.6;72.8;75.0;77.2
9;1;719.687;0.03117;65.2;67.5;69.7;72.0;74.2;76.5;78.7
10;1;732.812;0.03118;66.4;68.7;71.0;73.3;75.6;77.9;80.1
11;1;745.388;0.03125;67.6;69.9;72.2;74.5;76.9;79.2;81.5
12;1;757.488;0.03137;68.6;71.0;73.4;75.7;78.1;80.5;82.9
13;1;769.186;0.03154;69.6;72.1;74.5;76.9;79.3;81.8;84.2
14;1;780.497;0.03174;70.6;73.1;75.6;78.0;80.5;83.0;85.5
15;1;791.458;0.03197;71.6;74.1;76.6;79.1;81.7;84.2;86.7
16;1;802.113;0.03222;72.5;75.0;77.6;80.2;82.8;85.4;88.0
17;1;812.487;0.03250;73.3;76.0;78.6;81.2;83.9;86.5;89.2
18;1;822.587;0.03279;74.2;76.9;79.6;82.3;85.0;87.7;90.4
19;1;832.418;0.03310;75.0;77.7;80.5;83.2;86.0;88.8;91.5
20;1;841.996;0.03342;75.8;78.6;81.4;84.2;87.0;89.8;92.6
21;1;851.348;0.03376;76.5;79.4;82.3;85.1;88.0;90.9;93.8
22;1;860.477;0.03410;77.2;80.2;83.1;86.0;89.0;91.9;94.9
23;1;869.410;0.03445;78.0;81.0;83.9;86.9;89.9;92.9;95.9
24;1;878.161;0.03479;78.7;81.7;84.8;87.8;90.9;93.9;97.0
